Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk2,Team2,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%2,TOV%2,DRB%,FT/FGA2,Arena,Attend,Attend./G
15,Boston Celtics*,82,19780,40.2,83.3,.483,6.6,19.0,.348,33.6,64.4,.523,20.6,27.7,.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,9,Boston Celtics*,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,+3.9,91.6,.332,.228,.564,,.522,14.5,22.8,.248,,.487,14.9,73.8,.251,,TD Garden,763,584,18,624,
4,Orlando Magic*,82,19730,39.7,84.5,.470,11.1,29.6,.375,28.6,54.9,.521,20.8,28.8,.724,10.7,36.2,46.9,21.3,6.8,6.0,15.3,21.5,1,Orlando Magic*,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,+8.1,92.0,.340,.350,.573,,.536,13.6,24.6,.246,,.477,12.2,77.4,.205,,Amway Arena,715,901,17,461,
1,Phoenix Suns*,82,19730,42.6,86.6,.492,9.3,22.6,.412,33.3,64.0,.520,20.8,27.0,.770,11.6,33.4,45.0,24.4,6.1,5.3,15.4,21.9,6,Phoenix Suns*,28.5,54,28,54,28,4.90,-0.23,4.67,115.3,110.2,+5.1,95.3,.312,.261,.585,,.546,13.6,27.6,.240,,.491,11.6,70.8,.224,,US Airways Center,723,582,17,648,
6,Cleveland Cavaliers*,82,19780,41.2,84.9,.485,8.0,21.0,.381,33.2,63.9,.520,20.8,29.0,.720,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,2,Cleveland Cavaliers*,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,+7.1,91.4,.341,.248,.570,,.532,13.4,25.1,.246,,.482,12.3,77.2,.218,,Quicken Loans Arena,843,042,20,562,
2,Atlanta Hawks*,82,19855,42.7,91.2,.468,7.0,19.5,.360,35.6,71.7,.497,19.5,25.7,.759,13.0,32.9,45.9,24.0,7.9,5.5,13.1,21.9,5,Atlanta Hawks*,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,+5.2,90.1,.281,.214,.545,,.506,11.4,28.2,.213,,.496,13.2,72.7,.208,,Philips Arena,678,375,16,546,
8,Utah Jazz*,82,19755,41.8,85.1,.491,5.7,15.6,.364,36.1,69.5,.519,21.4,28.9,.741,11.3,33.5,44.8,28.3,8.7,5.2,16.1,24.1,3,Utah Jazz*,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,+5.7,93.8,.340,.184,.565,,.524,14.2,26.8,.252,,.492,14.2,75.6,.269,,EnergySolutions Arena,794,512,19,378,
9,San Antonio Spurs*,82,19780,41.7,88.1,.473,7.3,20.5,.358,34.4,67.7,.508,19.3,26.1,.740,11.7,34.7,46.4,24.2,6.8,5.0,14.8,22.1,4,San Antonio Spurs*,28.7,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,+5.5,91.7,.296,.232,.552,,.515,12.9,26.8,.219,,.483,12.1,76.3,.214,,AT&T Center,741,676,18,090,
23,Milwaukee Bucks*,82,19980,40.0,91.7,.436,8.5,23.8,.356,31.5,67.9,.464,16.6,21.9,.755,12.6,33.5,46.2,22.8,7.6,5.0,14.2,23.9,14,Milwaukee Bucks*,26.4,46,36,46,36,1.70,-0.32,1.37,104.9,103.1,+1.8,91.7,.239,.259,.518,,.482,12.3,26.2,.181,,.486,14.6,76.4,.266,,Bradley Center,619,453,15,109,
19,Miami Heat*,82,19880,40.2,87.8,.458,6.7,19.2,.346,33.5,68.6,.489,19.6,26.0,.752,11.8,34.4,46.2,20.9,8.2,6.2,14.5,23.0,13,Miami Heat*,27.1,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,+2.5,89.6,.296,.219,.537,,.496,12.8,26.1,.223,,.480,13.9,74.9,.246,,AmericanAirlines Arena,726,935,17,730,
27,Chicago Bulls*,82,19905,39.9,88.4,.451,4.6,13.8,.330,35.3,74.6,.474,19.2,25.4,.754,12.1,35.2,47.3,22.1,6.9,6.2,15.2,21.3,18,Chicago Bulls*,26.2,41,41,36,46,-1.63,0.00,-1.64,103.5,105.3,-1.8,93.1,.287,.156,.520,,.477,13.3,26.6,.217,,.484,12.3,74.8,.212,,United Center,849,760,20,726,
