1,Utah Jazz*,82,19780,40.7,83.2,.490,3.4,9.1,.372,37.3,74.1,.504,27.8,36.0,.773,13.1,32.7,45.8,28.2,8.8,5.6,17.1,26.7,4,Utah Jazz*,29.7,62,20,59,23,6.54,-0.81,5.73,112.7,105.4,+7.3,89.2,.433,.110,.569,,.510,14.8,32.3,.334,,.471,13.5,71.0,.271,,Delta Center,815,889,,
4,Indiana Pacers*,82,19830,40.2,85.7,.469,5.5,14.2,.390,34.7,71.5,.485,22.5,29.4,.764,12.0,32.3,44.4,26.0,8.9,5.1,16.1,25.6,5,Indiana Pacers*,29.7,58,24,59,23,6.09,0.16,6.25,108.4,101.6,+6.8,87.9,.343,.165,.550,,.502,14.0,27.9,.262,,.453,14.4,67.8,.236,,Market Square Arena,645,302,,
2,Los Angeles Lakers*,82,19830,40.7,84.5,.481,6.4,18.3,.351,34.3,66.2,.517,24.1,35.5,.679,14.0,32.0,45.9,26.0,9.5,7.2,16.2,24.0,1,Los Angeles Lakers*,25.8,61,21,61,21,7.74,-0.87,6.88,111.9,103.7,+8.2,93.6,.420,.216,.559,,.519,14.0,31.6,.285,,.467,14.1,68.8,.245,,Great Western Forum,676,101,,
11,Charlotte Hornets*,82,19780,40.3,86.1,.468,4.7,12.3,.383,35.6,73.8,.482,22.3,29.7,.751,13.4,31.8,45.1,26.3,9.4,4.2,16.9,23.8,12,Charlotte Hornets*,29.2,51,31,47,35,2.00,0.45,2.45,107.5,105.3,+2.2,89.4,.345,.142,.542,,.495,14.6,30.4,.259,,.493,14.6,70.8,.224,,Charlotte Coliseum,959,634,,
20,New York Knicks*,82,19830,39.3,88.0,.447,5.2,15.6,.335,34.1,72.4,.471,19.2,24.9,.772,13.4,33.4,46.8,24.5,8.7,3.8,17.1,26.7,11,New York Knicks*,30.2,43,39,49,33,2.46,0.28,2.74,103.0,100.3,+2.7,88.2,.283,.178,.521,,.476,14.7,29.5,.218,,.455,14.7,74.0,.282,,Madison Square Garden (IV),810,283,,
3,Seattle SuperSonics*,82,19755,41.3,87.4,.473,8.4,21.2,.396,32.9,66.1,.497,20.6,28.5,.721,12.6,30.1,42.7,26.9,10.9,5.1,15.5,24.5,2,Seattle SuperSonics*,31.1,61,21,61,21,7.17,-0.84,6.33,111.6,103.6,+8.0,89.8,.327,.243,.558,,.521,13.4,28.7,.236,,.478,15.9,66.1,.223,,KeyArena at Seattle Center,699,952,,
17,San Antonio Spurs*,82,19830,39.7,84.7,.468,4.1,11.8,.350,35.5,72.9,.488,20.4,29.6,.688,13.5,36.1,49.6,25.2,7.1,7.8,18.0,23.7,8,San Antonio Spurs*,28.7,56,26,53,29,3.99,-0.69,3.30,103.8,99.4,+4.4,88.4,.350,.139,.531,,.493,15.6,30.6,.241,,.437,12.2,72.2,.218,,Alamodome,783,455,,
6,Atlanta Hawks*,82,19880,39.8,87.5,.455,4.6,14.0,.332,35.1,73.5,.478,24.1,31.9,.756,15.2,33.3,48.5,21.6,9.0,6.8,16.7,23.0,9,Atlanta Hawks*,29.4,50,32,51,31,3.51,0.34,3.85,108.2,104.3,+3.9,87.7,.364,.160,.533,,.481,14.1,33.9,.275,,.468,13.0,69.1,.194,,Georgia Dome,610,615,,
5,New Jersey Nets*,82,19880,40.5,91.9,.441,4.1,12.4,.331,36.4,79.4,.458,23.2,31.2,.744,17.8,28.3,46.2,22.3,10.3,4.2,15.6,25.4,14,New Jersey Nets*,27.8,43,39,46,36,1.57,0.31,1.88,108.3,106.6,+1.7,91.0,.339,.135,.513,,.463,12.9,36.7,.253,,.499,16.7,66.4,.258,,Continental Airlines Arena,718,514,,
24,Cleveland Cavaliers*,82,19830,37.9,83.6,.454,4.0,10.8,.372,33.9,72.8,.466,22.3,29.5,.756,12.9,31.4,44.3,25.5,11.0,5.6,19.1,26.1,10,Cleveland Cavaliers*,24.6,47,35,49,33,2.73,0.33,3.06,102.2,99.1,+3.1,89.9,.352,.129,.529,,.478,16.5,30.0,.266,,.460,16.8,71.1,.264,,Gund Arena,694,629,,
