1,Phoenix Suns*,82,19730,42.6,86.5,.493,4.9,13.3,.363,37.7,73.1,.516,23.3,30.9,.753,13.9,30.6,44.5,25.4,9.2,5.5,16.6,21.2,4,Phoenix Suns*,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,+6.6,99.8,.358,.154,.566,,.521,14.2,33.0,.270,,.496,13.9,69.2,.206,,America West Arena,779,943,,
22,New York Knicks*,82,19930,40.9,87.9,.465,2.5,7.7,.320,38.4,80.2,.479,21.9,29.5,.741,14.7,33.9,48.6,27.1,8.7,4.7,16.5,26.9,5,New York Knicks*,28.3,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,+6.4,94.5,.336,.088,.526,,.479,14.1,33.1,.249,,.444,14.9,72.1,.294,,Madison Square Garden (IV),804,840,,
4,Seattle SuperSonics*,82,19780,43.9,90.2,.486,2.8,7.7,.357,41.1,82.5,.498,21.7,28.5,.761,15.4,28.5,43.9,24.1,11.9,5.2,16.0,24.9,1,Seattle SuperSonics*,27.7,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,+7.4,96.0,.316,.085,.546,,.502,13.5,35.5,.241,,.489,16.4,67.7,.260,,Seattle Center Coliseum,646,589,,
3,Cleveland Cavaliers*,82,19830,43.7,87.9,.497,3.6,9.5,.381,40.1,78.4,.511,21.7,27.0,.802,11.9,31.9,43.7,30.0,7.9,6.8,14.3,20.2,3,Cleveland Cavaliers*,28.8,54,28,58,24,6.45,-0.15,6.30,112.7,106.0,+6.7,94.8,.308,.108,.565,,.518,12.5,28.1,.247,,.482,13.1,69.1,.185,,Coliseum at Richfield,751,465,,
9,Charlotte Hornets*,82,19755,42.6,87.4,.487,2.1,6.5,.326,40.5,80.9,.500,22.2,28.8,.771,13.3,30.4,43.7,26.2,7.7,5.7,16.1,21.7,15,Charlotte Hornets*,25.7,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,.329,.074,.547,,.499,13.8,31.3,.254,,.487,12.6,65.0,.201,,Charlotte Coliseum,971,880,,
7,San Antonio Spurs*,82,19855,41.9,85.7,.490,3.0,8.8,.341,39.0,76.9,.507,22.7,29.7,.765,11.6,32.2,43.8,25.5,7.4,6.5,15.5,23.4,8,San Antonio Spurs*,27.5,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,+2.8,95.4,.347,.102,.555,,.507,13.6,27.8,.265,,.477,12.3,70.1,.221,,HemisFair Arena,658,337,,
8,Houston Rockets*,82,19780,42.2,86.7,.486,5.0,13.8,.361,37.2,72.9,.510,20.4,26.9,.758,12.7,32.5,45.2,27.2,8.8,7.0,16.6,21.8,6,Houston Rockets*,27.4,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,+4.4,94.4,.310,.159,.557,,.515,14.5,30.0,.235,,.474,13.4,68.5,.201,,The Summit,554,210,,
12,Boston Celtics*,82,19780,44.1,90.7,.487,1.4,4.9,.287,42.7,85.8,.498,19.0,24.4,.777,13.8,31.1,44.9,25.6,8.3,5.9,15.0,23.8,13,Boston Celtics*,28.6,48,34,43,39,0.89,0.04,0.93,108.7,107.8,+0.9,94.9,.270,.054,.536,,.495,12.9,31.2,.210,,.479,12.9,69.0,.251,,Boston Garden,608,495,,
10,Atlanta Hawks*,82,19830,42.1,90.2,.466,4.7,13.3,.355,37.3,76.9,.486,20.4,27.5,.742,16.0,29.1,45.1,25.9,10.0,3.4,16.6,22.4,16,Atlanta Hawks*,27.1,43,39,39,43,-0.87,0.20,-0.67,109.3,110.2,-0.9,97.6,.305,.148,.534,,.493,14.0,34.8,.227,,.516,14.6,68.5,.224,,Omni Coliseum,491,229,,
19,New Jersey Nets*,82,19780,41.3,89.5,.462,2.0,6.2,.318,39.4,83.3,.473,21.9,28.5,.767,16.3,31.7,48.0,23.7,8.8,6.6,17.1,23.9,12,New Jersey Nets*,27.3,43,39,45,37,1.26,-0.05,1.20,106.5,105.2,+1.3,96.0,.319,.069,.522,,.473,14.4,35.5,.244,,.480,14.1,69.5,.240,,Brendan Byrne Arena,620,416,,
