Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk2,Team2,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%2,TOV%2,DRB%,FT/FGA2,Arena,Attend,Attend./G
8,Dallas Mavericks*,82,19705,40.9,86.2,.475,8.6,23.6,.365,32.3,62.6,.516,19.2,24.7,.777,10.4,34.9,45.3,26.1,7.4,4.7,15.3,21.0,8,Dallas Mavericks*,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105.0,+4.7,91.3,.286,.274,.565,,.525,13.6,24.1,.222,,.488,13.0,74.8,.206,,American Airlines Center,824,162,20,102,
3,Miami Heat*,82,19780,40.5,84.1,.481,7.3,19.7,.370,33.2,64.4,.515,23.5,30.5,.769,10.5,35.6,46.1,21.9,7.3,5.7,15.2,22.3,1,Miami Heat*,29.0,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,+8.2,90.9,.363,.235,.573,,.524,13.5,25.2,.279,,.475,12.6,75.5,.223,,AmericanAirlines Arena,810,930,19,779,
8,Dallas Mavericks*,82,19705,40.9,86.2,.475,8.6,23.6,.365,32.3,62.6,.516,19.2,24.7,.777,10.4,34.9,45.3,26.1,7.4,4.7,15.3,21.0,8,Dallas Mavericks*,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105.0,+4.7,91.3,.286,.274,.565,,.525,13.6,24.1,.222,,.488,13.0,74.8,.206,,American Airlines Center,824,162,20,102,
11,Chicago Bulls*,82,19830,40.7,88.2,.462,6.8,19.0,.361,33.9,69.3,.489,20.0,26.9,.743,13.0,35.5,48.5,24.5,7.9,6.3,15.6,22.0,2,Chicago Bulls*,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,+8.0,90.4,.305,.215,.541,,.501,13.5,29.4,.227,,.463,13.6,76.2,.222,,United Center,893,462,21,792,
3,Miami Heat*,82,19780,40.5,84.1,.481,7.3,19.7,.370,33.2,64.4,.515,23.5,30.5,.769,10.5,35.6,46.1,21.9,7.3,5.7,15.2,22.3,1,Miami Heat*,29.0,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,+8.2,90.9,.363,.235,.573,,.524,13.5,25.2,.279,,.475,12.6,75.5,.223,,AmericanAirlines Arena,810,930,19,779,
8,Dallas Mavericks*,82,19705,40.9,86.2,.475,8.6,23.6,.365,32.3,62.6,.516,19.2,24.7,.777,10.4,34.9,45.3,26.1,7.4,4.7,15.3,21.0,8,Dallas Mavericks*,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105.0,+4.7,91.3,.286,.274,.565,,.525,13.6,24.1,.222,,.488,13.0,74.8,.206,,American Airlines Center,824,162,20,102,
5,Oklahoma City Thunder*,82,20005,39.7,85.5,.464,6.3,18.2,.347,33.4,67.4,.495,25.6,31.1,.823,11.7,33.7,45.4,21.6,8.5,6.3,15.0,23.8,9,Oklahoma City Thunder*,23.7,55,27,51,31,3.79,0.02,3.81,111.2,107.2,+4.0,92.7,.363,.212,.561,,.501,13.1,27.4,.299,,.493,12.9,73.6,.228,,Chesapeake Energy Arena,744,068,18,148,
20,Atlanta Hawks*,82,19730,40.5,87.6,.462,6.8,19.4,.352,33.6,68.1,.494,18.3,23.5,.779,10.4,33.5,43.9,24.5,6.8,4.6,15.2,21.2,18,Atlanta Hawks*,27.4,44,38,39,43,-0.82,-0.28,-1.10,106.1,107.0,-0.9,89.3,.269,.222,.542,,.501,13.5,23.4,.209,,.495,12.3,74.6,.211,,Philips Arena,641,596,15,649,
18,Boston Celtics*,82,19780,40.6,83.5,.486,5.5,15.0,.365,35.1,68.5,.513,19.6,25.4,.770,8.6,34.1,42.7,25.8,9.1,4.6,16.0,22.5,5,Boston Celtics*,29.5,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,+5.9,90.4,.305,.180,.561,,.519,14.5,21.1,.235,,.469,14.8,74.7,.235,,TD Garden,763,584,18,624,
11,Chicago Bulls*,82,19830,40.7,88.2,.462,6.8,19.0,.361,33.9,69.3,.489,20.0,26.9,.743,13.0,35.5,48.5,24.5,7.9,6.3,15.6,22.0,2,Chicago Bulls*,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,+8.0,90.4,.305,.215,.541,,.501,13.5,29.4,.227,,.463,13.6,76.2,.222,,United Center,893,462,21,792,
3,Miami Heat*,82,19780,40.5,84.1,.481,7.3,19.7,.370,33.2,64.4,.515,23.5,30.5,.769,10.5,35.6,46.1,21.9,7.3,5.7,15.2,22.3,1,Miami Heat*,29.0,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,+8.2,90.9,.363,.235,.573,,.524,13.5,25.2,.279,,.475,12.6,75.5,.223,,AmericanAirlines Arena,810,930,19,779,
