Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk2,Team2,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%2,TOV%2,DRB%,FT/FGA2,Arena,Attend,Attend./G
3,Los Angeles Lakers*,82,19780,41.2,86.5,.476,8.4,22.2,.378,32.8,64.3,.510,22.2,28.8,.769,11.4,34.6,45.9,25.4,8.3,5.6,14.7,21.5,3,Los Angeles Lakers*,26.7,57,25,59,23,7.26,0.09,7.34,113.0,105.5,+7.5,95.6,.333,.257,.570,,.525,12.9,26.3,.256,,.485,12.9,73.4,.214,,STAPLES Center,778,877,18,997,
6,Detroit Pistons*,82,19730,41.8,91.3,.458,6.8,18.5,.366,35.0,72.7,.481,21.0,27.4,.767,13.6,33.8,47.3,25.5,8.1,6.6,13.3,23.5,2,Detroit Pistons*,28.3,59,23,62,20,7.39,-0.72,6.67,111.4,102.9,+8.5,87.3,.300,.203,.539,,.495,11.4,29.4,.230,,.470,13.4,73.7,.244,,The Palace of Auburn Hills,905,116,22,076,
15,San Antonio Spurs*,82,19730,40.3,88.0,.457,8.1,22.1,.369,32.1,66.0,.487,18.5,24.3,.761,10.6,35.8,46.4,23.5,7.1,4.6,14.2,21.1,7,San Antonio Spurs*,31.4,56,26,55,27,4.79,0.31,5.10,107.2,101.8,+5.4,88.8,.276,.251,.543,,.504,12.6,23.4,.210,,.477,12.8,77.1,.201,,AT&T Center,761,149,18,565,
20,Cleveland Cavaliers*,82,19855,39.4,89.8,.439,7.4,20.7,.358,32.0,69.1,.463,19.8,27.6,.717,14.6,34.4,49.0,22.0,7.8,5.7,15.4,23.0,16,Cleveland Cavaliers*,27.1,45,37,40,42,-0.35,-0.17,-0.53,106.0,106.4,-0.4,90.2,.308,.231,.520,,.480,13.1,30.4,.221,,.494,12.9,75.9,.240,,Quicken Loans Arena,839,074,20,465,
7,Orlando Magic*,82,19780,39.7,83.8,.474,10.4,27.0,.386,29.3,56.8,.516,21.4,29.7,.721,10.0,34.8,44.8,22.2,6.8,4.3,15.2,21.9,5,Orlando Magic*,26.7,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,+5.8,93.4,.355,.322,.575,,.537,13.6,23.4,.256,,.484,12.3,74.8,.217,,Amway Arena,709,346,17,301,
1,Utah Jazz*,82,19705,42.9,86.1,.497,5.3,14.3,.372,37.5,71.8,.522,22.8,30.0,.759,12.3,31.5,43.8,28.3,9.4,4.6,15.7,25.7,4,Utah Jazz*,25.3,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,+7.3,93.2,.349,.166,.573,,.528,13.6,29.5,.265,,.501,15.0,74.1,.294,,EnergySolutions Arena,816,211,19,908,
5,New Orleans Hornets*,82,19805,42.7,91.6,.466,8.5,21.9,.389,34.2,69.8,.490,17.7,23.0,.769,12.6,33.6,46.3,24.1,8.6,4.3,13.1,20.6,6,New Orleans Hornets*,27.1,56,26,56,26,5.28,0.18,5.46,111.5,105.7,+5.8,89.9,.251,.239,.548,,.512,11.4,27.0,.193,,.501,13.5,75.4,.184,,New Orleans Arena,581,432,14,181,
16,Atlanta Hawks*,82,19855,39.5,87.0,.454,5.1,14.3,.356,34.4,72.7,.473,22.8,29.6,.772,13.4,32.6,46.0,23.9,8.0,5.9,16.2,22.2,19,Atlanta Hawks*,24.2,37,45,36,46,-1.82,-0.41,-2.23,106.9,108.9,-2.0,91.1,.340,.165,.535,,.483,14.0,29.7,.263,,.501,12.9,71.7,.217,,Philips Arena,667,518,16,281,
12,Washington Wizards*,82,19905,40.2,90.2,.446,7.8,21.8,.356,32.5,68.5,.475,21.0,26.8,.782,13.6,32.4,46.0,21.7,8.5,5.3,14.6,21.6,15,Washington Wizards*,27.2,43,39,40,42,-0.33,-0.28,-0.61,109.2,109.6,-0.4,89.5,.297,.241,.535,,.489,12.5,28.9,.233,,.513,13.5,72.8,.217,,Verizon Center,736,461,17,962,
18,Philadelphia 76ers*,82,19755,41.1,89.3,.460,4.1,12.8,.317,37.0,76.5,.483,20.3,28.7,.706,14.3,31.8,46.2,22.5,9.6,5.4,15.7,21.8,14,Philadelphia 76ers*,25.3,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,+0.4,90.4,.321,.143,.522,,.482,13.4,31.8,.227,,.504,15.1,72.0,.205,,Wachovia Center,609,675,14,870,
10,Toronto Raptors*,82,19830,42.2,90.2,.468,7.7,19.6,.392,34.6,70.6,.489,18.1,22.2,.812,10.6,33.5,44.1,26.2,7.6,4.5,12.9,21.4,12,Toronto Raptors*,26.3,41,41,49,33,2.90,-0.44,2.47,110.2,107.0,+3.2,90.2,.247,.217,.551,,.511,11.4,23.4,.200,,.505,13.5,75.0,.205,,Air Canada Centre,796,835,19,435,
11,Denver Nuggets*,82,19855,40.1,85.3,.470,6.9,19.4,.355,33.2,65.8,.504,22.9,30.5,.751,11.1,32.7,43.8,24.5,9.1,6.7,14.6,21.0,11,Denver Nuggets*,28.5,50,32,51,31,3.71,0.03,3.74,110.0,106.3,+3.7,99.7,.358,.228,.557,,.510,12.9,25.5,.269,,.499,14.1,72.1,.203,,Pepsi Center,711,962,17,365,
8,Dallas Mavericks*,82,19730,40.8,87.9,.464,6.7,18.9,.352,34.1,69.0,.495,22.8,28.0,.814,11.9,35.7,47.6,23.2,6.6,5.4,14.0,24.1,10,Dallas Mavericks*,28.9,51,31,54,28,4.54,0.16,4.70,111.1,106.1,+5.0,90.2,.318,.215,.554,,.502,12.3,26.7,.259,,.474,11.7,75.0,.252,,American Airlines Center,831,738,20,286,
2,Phoenix Suns*,82,19780,42.6,85.1,.500,8.7,22.1,.393,33.9,63.0,.538,19.4,24.8,.783,9.0,33.7,42.7,27.5,6.7,6.5,14.9,20.5,9,Phoenix Suns*,29.3,55,27,54,28,5.05,0.09,5.14,113.3,108.1,+5.2,96.7,.292,.260,.590,,.551,13.4,22.4,.228,,.488,11.8,70.9,.191,,US Airways Center,755,302,18,422,
17,Houston Rockets*,82,19730,40.4,90.2,.448,7.8,23.0,.342,32.6,67.2,.485,18.1,24.9,.726,13.5,35.8,49.3,23.7,8.1,5.7,15.1,21.7,8,Houston Rockets*,28.3,55,27,55,27,4.68,0.15,4.83,106.8,101.6,+5.2,90.4,.276,.255,.528,,.492,13.0,29.1,.200,,.465,12.8,74.8,.214,,Toyota Center,718,524,17,525,
