Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk2,Team2,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%2,TOV%2,DRB%,FT/FGA2,Arena,Attend,Attend./G
2,Chicago Bulls*,82,19830,45.5,94.3,.482,3.2,8.8,.365,42.3,85.5,.494,18.7,25.5,.733,16.9,29.9,46.8,27.9,10.2,5.4,14.4,23.6,2,Chicago Bulls*,28.1,57,25,58,24,6.29,-0.10,6.19,112.9,106.1,+6.8,92.5,.271,.093,.535,,.499,12.0,36.3,.199,,.493,15.4,68.7,.239,,Chicago Stadium,759,656,,
2,Chicago Bulls*,82,19830,45.5,94.3,.482,3.2,8.8,.365,42.3,85.5,.494,18.7,25.5,.733,16.9,29.9,46.8,27.9,10.2,5.4,14.4,23.6,2,Chicago Bulls*,28.1,57,25,58,24,6.29,-0.10,6.19,112.9,106.1,+6.8,92.5,.271,.093,.535,,.499,12.0,36.3,.199,,.493,15.4,68.7,.239,,Chicago Stadium,759,656,,
1,Phoenix Suns*,82,19730,42.6,86.5,.493,4.9,13.3,.363,37.7,73.1,.516,23.3,30.9,.753,13.9,30.6,44.5,25.4,9.2,5.5,16.6,21.2,4,Phoenix Suns*,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,+6.6,99.8,.358,.154,.566,,.521,14.2,33.0,.270,,.496,13.9,69.2,.206,,America West Arena,779,943,,
2,Chicago Bulls*,82,19830,45.5,94.3,.482,3.2,8.8,.365,42.3,85.5,.494,18.7,25.5,.733,16.9,29.9,46.8,27.9,10.2,5.4,14.4,23.6,2,Chicago Bulls*,28.1,57,25,58,24,6.29,-0.10,6.19,112.9,106.1,+6.8,92.5,.271,.093,.535,,.499,12.0,36.3,.199,,.493,15.4,68.7,.239,,Chicago Stadium,759,656,,
22,New York Knicks*,82,19930,40.9,87.9,.465,2.5,7.7,.320,38.4,80.2,.479,21.9,29.5,.741,14.7,33.9,48.6,27.1,8.7,4.7,16.5,26.9,5,New York Knicks*,28.3,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,+6.4,94.5,.336,.088,.526,,.479,14.1,33.1,.249,,.444,14.9,72.1,.294,,Madison Square Garden (IV),804,840,,
1,Phoenix Suns*,82,19730,42.6,86.5,.493,4.9,13.3,.363,37.7,73.1,.516,23.3,30.9,.753,13.9,30.6,44.5,25.4,9.2,5.5,16.6,21.2,4,Phoenix Suns*,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,+6.6,99.8,.358,.154,.566,,.521,14.2,33.0,.270,,.496,13.9,69.2,.206,,America West Arena,779,943,,
4,Seattle SuperSonics*,82,19780,43.9,90.2,.486,2.8,7.7,.357,41.1,82.5,.498,21.7,28.5,.761,15.4,28.5,43.9,24.1,11.9,5.2,16.0,24.9,1,Seattle SuperSonics*,27.7,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,+7.4,96.0,.316,.085,.546,,.502,13.5,35.5,.241,,.489,16.4,67.7,.260,,Seattle Center Coliseum,646,589,,
9,Charlotte Hornets*,82,19755,42.6,87.4,.487,2.1,6.5,.326,40.5,80.9,.500,22.2,28.8,.771,13.3,30.4,43.7,26.2,7.7,5.7,16.1,21.7,15,Charlotte Hornets*,25.7,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,.329,.074,.547,,.499,13.8,31.3,.254,,.487,12.6,65.0,.201,,Charlotte Coliseum,971,880,,
2,Chicago Bulls*,82,19830,45.5,94.3,.482,3.2,8.8,.365,42.3,85.5,.494,18.7,25.5,.733,16.9,29.9,46.8,27.9,10.2,5.4,14.4,23.6,2,Chicago Bulls*,28.1,57,25,58,24,6.29,-0.10,6.19,112.9,106.1,+6.8,92.5,.271,.093,.535,,.499,12.0,36.3,.199,,.493,15.4,68.7,.239,,Chicago Stadium,759,656,,
3,Cleveland Cavaliers*,82,19830,43.7,87.9,.497,3.6,9.5,.381,40.1,78.4,.511,21.7,27.0,.802,11.9,31.9,43.7,30.0,7.9,6.8,14.3,20.2,3,Cleveland Cavaliers*,28.8,54,28,58,24,6.45,-0.15,6.30,112.7,106.0,+6.7,94.8,.308,.108,.565,,.518,12.5,28.1,.247,,.482,13.1,69.1,.185,,Coliseum at Richfield,751,465,,
22,New York Knicks*,82,19930,40.9,87.9,.465,2.5,7.7,.320,38.4,80.2,.479,21.9,29.5,.741,14.7,33.9,48.6,27.1,8.7,4.7,16.5,26.9,5,New York Knicks*,28.3,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,+6.4,94.5,.336,.088,.526,,.479,14.1,33.1,.249,,.444,14.9,72.1,.294,,Madison Square Garden (IV),804,840,,
8,Houston Rockets*,82,19780,42.2,86.7,.486,5.0,13.8,.361,37.2,72.9,.510,20.4,26.9,.758,12.7,32.5,45.2,27.2,8.8,7.0,16.6,21.8,6,Houston Rockets*,27.4,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,+4.4,94.4,.310,.159,.557,,.515,14.5,30.0,.235,,.474,13.4,68.5,.201,,The Summit,554,210,,
